"rank","module","uri","name","action","status","avg_ms","min_ms","max_ms","runs_ms","bytes","final_url","error"
"79","restoran","admin/restoran/mutfak","filament.admin.restoran.pages.mutfak","App\Filament\Clusters\Restoran\Pages\RestoranMutfakEkraniSayfasi","200","1797,84","1640,52","2103,84","2103,84|1640,52|1649,17","124184","http://localhost/yalova-kamera/admin/restoran/mutfak",
"80","restoran","admin/restoran/raporlar/genel","filament.admin.restoran.pages.raporlar.genel","App\Filament\Clusters\Restoran\Pages\RestoranRaporlariSayfasi","200","1794,42","1605,31","2129,01","2129,01|1605,31|1648,96","129546","http://localhost/yalova-kamera/admin/restoran/raporlar/genel",
"81","teknik-servis","admin/teknik-servis/servis-kayitlari/olustur/bakim","filament.admin.teknik-servis.resources.servis-kayitlari.create_bakim","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\BakimKaydiOlusturSayfasi","200","1792,19","1771,12","1810,43","1795,03|1771,12|1810,43","261255","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/olustur/bakim",
"82","teklif-yonetimi","admin/teklif-yonetimi/sablonlar","filament.admin.teklif-yonetimi.resources.sablonlar.index","App\Filament\Clusters\TeklifYonetimi\Resources\TeklifSablonKaynagi\Pages\ListTeklifSablonlari","200","1791,55","1661,39","1925,05","1925,05|1788,2|1661,39","140681","http://localhost/yalova-kamera/admin/teklif-yonetimi/sablonlar",
"83","muhasebe","admin/muhasebe/faturalar/giden-faturalar","filament.admin.muhasebe.pages.faturalar.giden-faturalar","App\Filament\Clusters\Muhasebe\Pages\GidenFatura","200","1791,38","1696,08","1871,88","1696,08|1871,88|1806,17","159492","http://localhost/yalova-kamera/admin/muhasebe/faturalar/giden-faturalar",
"84","teknik-servis","admin/teknik-servis/servis-kayitlari/liste/iade","filament.admin.teknik-servis.resources.servis-kayitlari.iade","App\Filament\Clusters\TeknikServis\Resources\TeknikServisKaydiKaynagi\Pages\TeknikServisKayitlariIadeSayfasi","200","1790,23","1705,69","1877,18","1877,18|1787,82|1705,69","145905","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayitlari/liste/iade",
"85","teknik-servis","admin/teknik-servis/servis-kayit/servis-ekle","filament.admin.teknik-servis.pages.servis-kayit.servis-ekle","App\Filament\Clusters\TeknikServis\Pages\ServisEkle","200","1789,95","1673,13","1914,02","1914,02|1673,13|1782,7","111992","http://localhost/yalova-kamera/admin/teknik-servis/servis-kayit/servis-ekle",
"86","web","admin/web/projeler/kategoriler","filament.admin.web.pages.projeler.kategoriler","App\Filament\Clusters\Web\Pages\WebProjeKategori","200","1789,65","1752,62","1839,24","1839,24|1752,62|1777,08","291815","http://localhost/yalova-kamera/admin/web/projeler/kategoriler",
"87","muhasebe","admin/muhasebe/faturalar/iptal-faturalar","filament.admin.muhasebe.pages.faturalar.iptal-faturalar","App\Filament\Clusters\Muhasebe\Pages\IptalFatura","200","1788,86","1674,14","2008,11","2008,11|1674,14|1684,32","158807","http://localhost/yalova-kamera/admin/muhasebe/faturalar/iptal-faturalar",
"88","muhasebe","admin/muhasebe/tanimlar/doviz-kurlari","filament.admin.muhasebe.resources.tanimlar.doviz-kurlari.index","App\Filament\Clusters\Muhasebe\Resources\Tanimlar\DovizKuruTanimKaynagi\Pages\ListDovizKurlari","200","1788,24","1772,07","1802,89","1802,89|1789,75|1772,07","238529","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/doviz-kurlari",
"89","teknik-servis","admin/teknik-servis/operasyon/garantili-cihazlar","filament.admin.teknik-servis.pages.operasyon.garantili-cihazlar","App\Filament\Clusters\TeknikServis\Pages\GarantiliCihazlarSayfasi","200","1787,49","1675,52","1890,86","1675,52|1890,86|1796,1","141943","http://localhost/yalova-kamera/admin/teknik-servis/operasyon/garantili-cihazlar",
"90","personel-takip","admin/personel-takip/tanimlar/gorevler","filament.admin.personel-takip.resources.tanimlar.gorevler.index","App\Filament\Clusters\PersonelTakip\Resources\PersonelGorevKaynagi\Pages\ListPersonelGorevleri","200","1785,55","1777,8","1797,81","1797,81|1781,03|1777,8","229785","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/gorevler",
"91","web","admin/web/bloglar/ayarlar","filament.admin.web.pages.bloglar.ayarlar","App\Filament\Clusters\Web\Pages\BlogAyarlar","200","1783,92","1675,01","1961,64","1961,64|1715,11|1675,01","142664","http://localhost/yalova-kamera/admin/web/bloglar/ayarlar",
"92","muhasebe","admin/muhasebe/tanimlar/para-birimleri","filament.admin.muhasebe.resources.tanimlar.para-birimleri.index","App\Filament\Clusters\Muhasebe\Resources\ParaBirimiTanimKaynagi\Pages\ListParaBirimleri","200","1782,58","1750,26","1812,21","1812,21|1750,26|1785,28","228760","http://localhost/yalova-kamera/admin/muhasebe/tanimlar/para-birimleri",
"93","restoran","admin/restoran/masalar","filament.admin.restoran.resources.masalar.index","App\Filament\Clusters\Restoran\Resources\RestoranMasaKaynagi\Pages\ListRestoranMasalari","200","1782,57","1747,81","1845,17","1747,81|1845,17|1754,72","181749","http://localhost/yalova-kamera/admin/restoran/masalar",
"94","siparisler","admin/siparisler/basarisiz","filament.admin.resources.siparisler.failed","App\Filament\Resources\SiparisKaynagi\Pages\ListBasarisizSiparisler","200","1780,73","1736,98","1814,38","1736,98|1814,38|1790,83","201614","http://localhost/yalova-kamera/admin/siparisler/basarisiz",
"95","personel-takip","admin/personel-takip/terminal/pin-giris-cikis","filament.admin.personel-takip.pages.terminal.pin-giris-cikis","App\Filament\Clusters\PersonelTakip\Pages\PersonelPinTerminalSayfasi","200","1780,27","1677,92","1949,82","1949,82|1713,06|1677,92","133494","http://localhost/yalova-kamera/admin/personel-takip/terminal/pin-giris-cikis",
"96","muhasebe","admin/muhasebe/cari-yonetimi/cariler","filament.admin.muhasebe.resources.cari-yonetimi.cariler.index","App\Filament\Clusters\Muhasebe\Resources\CariKartiKaynagi\Pages\ListCariler","200","1778,62","1703,87","1902,64","1902,64|1729,34|1703,87","170488","http://localhost/yalova-kamera/admin/muhasebe/cari-yonetimi/cariler",
"97","muhasebe","admin/muhasebe/fatura-kaynagis/create/bekleyen-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createBekleyen","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateBekleyenFatura","200","1776,9","1714,53","1819,28","1714,53|1796,9|1819,28","192839","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/bekleyen-fatura",
"98","restoran","admin/restoran/paket-servis","filament.admin.restoran.pages.paket-servis","App\Filament\Clusters\Restoran\Pages\RestoranPaketServisSayfasi","200","1775,03","1619,26","2054,78","2054,78|1651,04|1619,26","122122","http://localhost/yalova-kamera/admin/restoran/paket-servis",
"99","web","admin/web/sayfalar/iletisim","filament.admin.web.pages.sayfalar.iletisim","App\Filament\Clusters\Web\Pages\Iletisim","200","1774,63","1691,38","1856,29","1856,29|1776,23|1691,38","191064","http://localhost/yalova-kamera/admin/web/sayfalar/iletisim",
"100","muhasebe","admin/muhasebe/finans/poslar/create","filament.admin.muhasebe.resources.finans.poslar.create","App\Filament\Clusters\Muhasebe\Resources\PosHesabiKaynagi\Pages\CreatePosHesabi","200","1770,91","1750,71","1792,54","1792,54|1769,49|1750,71","222739","http://localhost/yalova-kamera/admin/muhasebe/finans/poslar/create",
"101","teknik-servis","admin/teknik-servis/genel-ayarlar","filament.admin.teknik-servis.pages.genel-ayarlar","App\Filament\Clusters\TeknikServis\Pages\TeknikServisGenelAyarlarSayfasi","200","1766,55","1600,86","1919,87","1778,9|1919,87|1600,86","112151","http://localhost/yalova-kamera/admin/teknik-servis/genel-ayarlar",
"102","muhasebe","admin/muhasebe/fatura-kaynagis/create/proforma-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createProforma","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateProformaFatura","200","1762,8","1720,96","1798,37","1798,37|1769,08|1720,96","192839","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/proforma-fatura",
"103","muhasebe","admin/muhasebe/fatura-kaynagis/create/giden-fatura","filament.admin.muhasebe.resources.fatura-kaynagis.createGiden","App\Filament\Clusters\Muhasebe\Resources\FaturaKaynagi\Pages\CreateGidenFatura","200","1760,23","1730,99","1785,8","1730,99|1763,89|1785,8","192921","http://localhost/yalova-kamera/admin/muhasebe/fatura-kaynagis/create/giden-fatura",
"104","personel-takip","admin/personel-takip/tanimlar/vardiya-sablonlari/create","filament.admin.personel-takip.resources.tanimlar.vardiya-sablonlari.create","App\Filament\Clusters\PersonelTakip\Resources\PersonelVardiyaSablonuKaynagi\Pages\CreatePersonelVardiyaSablonu","200","1760,04","1684,84","1910,24","1910,24|1685,02|1684,84","152742","http://localhost/yalova-kamera/admin/personel-takip/tanimlar/vardiya-sablonlari/create",
"105","sistem-firmalar","admin/sistem-firmalar","filament.admin.resources.sistem-firmalar.index","App\Filament\Resources\FirmaYonetimKaynagi\Pages\FirmaListesi","200","1759,81","1739,07","1784,67","1755,68|1784,67|1739,07","178343","http://localhost/yalova-kamera/admin/sistem-firmalar",
